image_url1,image_url2,image_url3,image_url4,text1,text2,text3,text4
http://www.umiacs.umd.edu/~yzyang/riddles/aardvark_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/aardvark_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/aardvark_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/aardvark_4.png,aardvark,hippopotamus,apatosaurus,anthropomorphic creatures
http://www.umiacs.umd.edu/~yzyang/riddles/abacus_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/abacus_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/abacus_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/abacus_4.png,abacus,pictogram,abacus,tile carpentry sheetrock
http://www.umiacs.umd.edu/~yzyang/riddles/abandoned_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/abandoned_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/abandoned_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/abandoned_4.png,abandoned,safe house,Crichton ankylosaur,drug trafficker Tapia
http://www.umiacs.umd.edu/~yzyang/riddles/ablaze_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/ablaze_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/ablaze_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/ablaze_4.png,ablaze,fire,fire,ignited combustibles
http://www.umiacs.umd.edu/~yzyang/riddles/aboard_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/aboard_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/aboard_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/aboard_4.png,aboard,cool air,boat,Diving kayaking trekking
http://www.umiacs.umd.edu/~yzyang/riddles/abode_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/abode_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/abode_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/abode_4.png,abode,backyard,yurt,bluestone patio
http://www.umiacs.umd.edu/~yzyang/riddles/above_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/above_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/above_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/above_4.png,above,near sight,symbol SMTB,Thick smoke obscured
http://www.umiacs.umd.edu/~yzyang/riddles/absurd_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/absurd_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/absurd_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/absurd_4.png,absurd,love me,woolly coat,intelligent lifebuoy
http://www.umiacs.umd.edu/~yzyang/riddles/academic_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/academic_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/academic_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/academic_4.png,academic,social science,mortarboard,MookieTheCat
http://www.umiacs.umd.edu/~yzyang/riddles/academy_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/academy_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/academy_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/academy_4.png,academy,school teacher,monastery,MookieTheCat
http://www.umiacs.umd.edu/~yzyang/riddles/access_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/access_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/access_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/access_4.png,access,visual information source,farecard,romp Pouch thinks
http://www.umiacs.umd.edu/~yzyang/riddles/accident_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/accident_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/accident_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/accident_4.png,accident,police car,car,TEXOMA Water
http://www.umiacs.umd.edu/~yzyang/riddles/account_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/account_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/account_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/account_4.png,account,view camera,laptop,see EurasiaNet archive
http://www.umiacs.umd.edu/~yzyang/riddles/accounts_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/accounts_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/accounts_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/accounts_4.png,accounts,graph calculator,laptop touchpad,see EurasiaNet archive
http://www.umiacs.umd.edu/~yzyang/riddles/ace_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/ace_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/ace_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/ace_4.png,ace,gamble card game,ball overarm sidearm,By Kat Zeman
http://www.umiacs.umd.edu/~yzyang/riddles/ache_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/ache_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/ache_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/ache_4.png,ache,solitariness,elasticated waist,By Laurelle Gilbert
http://www.umiacs.umd.edu/~yzyang/riddles/achieve_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/achieve_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/achieve_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/achieve_4.png,achieve,strength train,double axel Lysacek,Ameyaw Debrah What
http://www.umiacs.umd.edu/~yzyang/riddles/achiever_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/achiever_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/achiever_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/achiever_4.png,achiever,person name,overskirt,By Laurelle Gilbert
http://www.umiacs.umd.edu/~yzyang/riddles/achoo_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/achoo_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/achoo_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/achoo_4.png,achoo,eat one's word,ocarina,Giggle giggle
http://www.umiacs.umd.edu/~yzyang/riddles/acrobat_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/acrobat_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/acrobat_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/acrobat_4.png,acrobat,sketcher,unicycle,Venetian painters
http://www.umiacs.umd.edu/~yzyang/riddles/act_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/act_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/act_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/act_4.png,act,for one thing,organ alto sax,vent Gespass
http://www.umiacs.umd.edu/~yzyang/riddles/action_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/action_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/action_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/action_4.png,action,adventure race,suit,romp Pouch thinks
http://www.umiacs.umd.edu/~yzyang/riddles/activity_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/activity_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/activity_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/activity_4.png,activity,study in library,ping pong paddle,hiking biking camping
http://www.umiacs.umd.edu/~yzyang/riddles/actor_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/actor_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/actor_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/actor_4.png,actor,art movie,Jackson trademark fedora,Lanky brooding Superman
http://www.umiacs.umd.edu/~yzyang/riddles/adapter_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/adapter_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/adapter_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/adapter_4.png,adapter,camera lucida,neckstrap,MookieTheCat
http://www.umiacs.umd.edu/~yzyang/riddles/adder_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/adder_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/adder_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/adder_4.png,adder,tiger snake,wiggler,viral McSween
http://www.umiacs.umd.edu/~yzyang/riddles/addict_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/addict_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/addict_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/addict_4.png,addict,love me,nipple,romp Pouch thinks
http://www.umiacs.umd.edu/~yzyang/riddles/addition_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/addition_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/addition_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/addition_4.png,addition,one direction,detachable strap,Halozyme Therapeutics Reports
http://www.umiacs.umd.edu/~yzyang/riddles/address_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/address_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/address_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/address_4.png,address,telephone system,Walkman Obit Remembering,MookieTheCat
http://www.umiacs.umd.edu/~yzyang/riddles/adjust_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/adjust_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/adjust_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/adjust_4.png,adjust,magnify glass,telescoping stylus,MookieTheCat
http://www.umiacs.umd.edu/~yzyang/riddles/admin_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/admin_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/admin_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/admin_4.png,admin,social security card,Dropbox folder,see EurasiaNet archive
http://www.umiacs.umd.edu/~yzyang/riddles/adorable_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/adorable_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/adorable_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/adorable_4.png,adorable,zonkey,yorkie,Giggle giggle
http://www.umiacs.umd.edu/~yzyang/riddles/adult_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/adult_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/adult_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/adult_4.png,adult,eat food with,furry bunny,MookieTheCat
http://www.umiacs.umd.edu/~yzyang/riddles/advance_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/advance_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/advance_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/advance_4.png,advance,even wrap,Seeking LPN,Halozyme Therapeutics Reports
http://www.umiacs.umd.edu/~yzyang/riddles/adventure_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/adventure_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/adventure_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/adventure_4.png,adventure,adventure game,skidoo,hiking biking camping
http://www.umiacs.umd.edu/~yzyang/riddles/aerobics_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/aerobics_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/aerobics_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/aerobics_4.png,aerobics,low class,eggbeater,Gastineau gyms open
http://www.umiacs.umd.edu/~yzyang/riddles/aerosol_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/aerosol_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/aerosol_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/aerosol_4.png,aerosol,ceramic,gauze mask,Halozyme Therapeutics Reports
http://www.umiacs.umd.edu/~yzyang/riddles/affluent_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/affluent_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/affluent_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/affluent_4.png,affluent,sandy beach,overlooking Nantucket Sound,uncrowded beaches
