image_url1,image_url2,image_url3,image_url4,text1,text2,text3
http://www.umiacs.umd.edu/~yzyang/riddles/aardvark_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/aardvark_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/aardvark_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/aardvark_4.png,aardvark,hippopotamus,anthropomorphic creatures
http://www.umiacs.umd.edu/~yzyang/riddles/abacus_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/abacus_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/abacus_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/abacus_4.png,abacus,math book,tile carpentry sheetrock
http://www.umiacs.umd.edu/~yzyang/riddles/abandoned_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/abandoned_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/abandoned_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/abandoned_4.png,abandoned,safe house,drug trafficker Tapia
http://www.umiacs.umd.edu/~yzyang/riddles/ablaze_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/ablaze_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/ablaze_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/ablaze_4.png,ablaze,fire,ignited combustibles
http://www.umiacs.umd.edu/~yzyang/riddles/aboard_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/aboard_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/aboard_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/aboard_4.png,aboard,cool air,Diving kayaking trekking
http://www.umiacs.umd.edu/~yzyang/riddles/abode_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/abode_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/abode_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/abode_4.png,abode,cottage,bluestone patio
http://www.umiacs.umd.edu/~yzyang/riddles/above_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/above_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/above_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/above_4.png,above,near sight,Thick smoke obscured
http://www.umiacs.umd.edu/~yzyang/riddles/absurd_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/absurd_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/absurd_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/absurd_4.png,absurd,wild child,intelligent lifebuoy
http://www.umiacs.umd.edu/~yzyang/riddles/academic_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/academic_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/academic_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/academic_4.png,academic,social science,MookieTheCat
http://www.umiacs.umd.edu/~yzyang/riddles/academy_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/academy_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/academy_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/academy_4.png,academy,teach kid,MookieTheCat
http://www.umiacs.umd.edu/~yzyang/riddles/access_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/access_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/access_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/access_4.png,access,visual information source,romp Pouch thinks
http://www.umiacs.umd.edu/~yzyang/riddles/accident_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/accident_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/accident_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/accident_4.png,accident,police car,TEXOMA Water
http://www.umiacs.umd.edu/~yzyang/riddles/account_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/account_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/account_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/account_4.png,account,personal computer,see EurasiaNet archive
http://www.umiacs.umd.edu/~yzyang/riddles/accounts_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/accounts_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/accounts_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/accounts_4.png,accounts,e finance,see EurasiaNet archive
http://www.umiacs.umd.edu/~yzyang/riddles/ace_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/ace_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/ace_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/ace_4.png,ace,game over,By Kat Zeman
http://www.umiacs.umd.edu/~yzyang/riddles/ache_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/ache_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/ache_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/ache_4.png,ache,solitariness,By Laurelle Gilbert
http://www.umiacs.umd.edu/~yzyang/riddles/achieve_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/achieve_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/achieve_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/achieve_4.png,achieve,figure skate,Ameyaw Debrah What
http://www.umiacs.umd.edu/~yzyang/riddles/achiever_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/achiever_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/achiever_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/achiever_4.png,achiever,just kid,By Laurelle Gilbert
http://www.umiacs.umd.edu/~yzyang/riddles/achoo_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/achoo_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/achoo_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/achoo_4.png,achoo,scatterbrain,Giggle giggle
http://www.umiacs.umd.edu/~yzyang/riddles/acrobat_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/acrobat_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/acrobat_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/acrobat_4.png,acrobat,sketcher,Venetian painters
http://www.umiacs.umd.edu/~yzyang/riddles/act_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/act_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/act_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/act_4.png,act,spit image,vent Gespass
http://www.umiacs.umd.edu/~yzyang/riddles/action_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/action_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/action_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/action_4.png,action,movie clip,romp Pouch thinks
http://www.umiacs.umd.edu/~yzyang/riddles/activity_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/activity_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/activity_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/activity_4.png,activity,person group,hiking biking camping
http://www.umiacs.umd.edu/~yzyang/riddles/actor_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/actor_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/actor_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/actor_4.png,actor,documentarian,Lanky brooding Superman
http://www.umiacs.umd.edu/~yzyang/riddles/adapter_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/adapter_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/adapter_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/adapter_4.png,adapter,camera lucida,MookieTheCat
http://www.umiacs.umd.edu/~yzyang/riddles/adder_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/adder_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/adder_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/adder_4.png,adder,tiger snake,viral McSween
http://www.umiacs.umd.edu/~yzyang/riddles/addict_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/addict_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/addict_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/addict_4.png,addict,scatterbrain,romp Pouch thinks
http://www.umiacs.umd.edu/~yzyang/riddles/addition_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/addition_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/addition_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/addition_4.png,addition,common gateway interface,Halozyme Therapeutics Reports
http://www.umiacs.umd.edu/~yzyang/riddles/address_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/address_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/address_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/address_4.png,address,telephone system,MookieTheCat
http://www.umiacs.umd.edu/~yzyang/riddles/adjust_1.png,http://www.umiacs.umd.edu/~yzyang/riddles/adjust_2.png,http://www.umiacs.umd.edu/~yzyang/riddles/adjust_3.png,http://www.umiacs.umd.edu/~yzyang/riddles/adjust_4.png,adjust,control room,MookieTheCat
