ImageName	GUR	Baseline	GUR-wt	Baseline-wt	Difference
thin	butter_chicken	Thin_crust	0.59424668317	0.788544237805	-0.194297554635
keyboard	hybrid_computer	tactile_keypad	0.656205269805	0.832542174424	-0.176336904619
pattern	tapestry	geometric_pattern	0.653905814003	0.903559106851	-0.249653292848
ripe	edible_fruit	ripe_juicy	0.653417381716	0.912585009747	-0.259167628031
flower	tulip	flower	0.8314708243	1.0	-0.1685291757
van	trailer_truck	van	0.853532916933	1.0	-0.146467083067
vineyard	vinifera_grape	vineyard	0.81655041749	1.0	-0.18344958251
aluminum	stainless_steel	aluminum	0.877132100796	1.0	-0.122867899204
fluffy	unsweetened_bake_chocolate	fluffy_frosting	0.71918592777	0.930730032164	-0.211544104394
jamaica	pictogram	terra_cotta_busts	0.58938833412	0.692855802017	-0.103467467897
view	moonlight	Breathtaking_views	0.598163496235	0.77403873851	-0.175875242275
laundry	picture_dictionary	tile_carpentry_sheetrock	0.588078080957	0.690360734465	-0.102282653508
stove	franklin_stove	stove	0.86360909373	1.0	-0.13639090627
street	wall_street	street	0.893283007472	1.0	-0.106716992528
batman	visuality	Lanky_brooding_Superman	0.586910544471	0.727995236052	-0.141084691581
patio	backyard	flagstone_patio	0.754278939548	0.931793387682	-0.177514448134
crunchy	sweet_potato	crunchy_salty	0.786812123696	0.929644810464	-0.142832686768
diving	bask_shark	Diving_kayaking_trekking	0.644905606053	0.777287752205	-0.132382146152
belly	cuddlesome	loves_belly_rubs	0.652898471071	0.832945507504	-0.180047036433
ride-2	water_route	horseback_riding_biking	0.664512716228	0.806692056196	-0.142179339968
portion	butter_pie	Generous_portions	0.601656042058	0.788486616892	-0.186830574834
tub	shower	jacuzzi_tub	0.771504091517	0.933704733466	-0.162200641949
aroma	osmanthus	lavender_scent	0.730993800216	0.838223024024	-0.107229223808
sparrow	owl	sparrow_sized	0.768573754679	0.873076280137	-0.104502525458
camping	go_outdoors	camping_hiking_canoeing	0.716813991505	0.915995792037	-0.199181800532
chilled	soft_drink	Serve_chilled	0.706551797187	0.906286353358	-0.199734556171
gander	american_golden_plover	Photos_Take_gander	0.638219742629	0.842496663383	-0.204276920754
buffet	repast	dessert_buffets	0.773008610988	0.897472431296	-0.124463820308
peeled	melon	Fold_whipped_cream	0.651202403617	0.759574986579	-0.108372582962
lighting	ultraviolet_light	Dim_lighting	0.7431635574	0.895903257741	-0.152739700341
berries	edible_fruit	berries_plums	0.841502991581	0.957880399346	-0.116377407765
army	as_anything	UDBKL	0.571546132925	0.675074011964	-0.103527879039
bed	pothos	mulched_beds	0.644870499698	0.774457885972	-0.129587386274
fried	steak	fried_tempura	0.767522134454	0.945709750729	-0.178187616275
smoke	poison_ivy	Thick_smoke_obscured	0.651987608853	0.835974400422	-0.183986791569
ink	image_magic	crayon_pencil	0.636963012754	0.750374394395	-0.113411381641
download	flowcharting	Windows_logon	0.650924756115	0.764676403639	-0.113751647524
purple	corydalis	pinkish_purple	0.740786563115	0.936293282421	-0.195506719306
fearless	outdoor_sport	awe_inspiring_scenery	0.585728950765	0.698543306095	-0.11281435533
lorry	trailer_truck	Overturned_lorry	0.770950682287	0.890947831858	-0.119997149571
woman	girl_talk	woman	0.764215380696	1.0	-0.235784619304
cherries	pear	cherries_strawberries	0.831209265936	0.966326265889	-0.135116999953
surfer	sandy_beach	surfer_paradise	0.683589399181	0.885277381136	-0.201687981955
wall	golden_gate_bridge	fieldstone_walls	0.673951557098	0.813512808131	-0.139561251033
fabric	wool_dye	toile_fabric	0.758593292046	0.924526062225	-0.165932770179
melt	choc_ice	Pour_melted_butter	0.703567702675	0.813829627884	-0.110261925209
outdoors	daylight	outdoors	0.700213441428	1.0	-0.299786558572
button	texture_map	tactile_keypad	0.617946949075	0.740750802896	-0.122803853821
dress-2	girl_talk	jeans_unbuttoned	0.632378873107	0.784272184869	-0.151893311762
emo	simulacrum	Lanky_brooding_Superman	0.605009324054	0.705422762922	-0.100413438868
cuddly	teddy_bear	cuddly_puppy	0.718802671362	0.921797067976	-0.202994396614
panic	girl_talk	confusion_Saljic	0.611072281949	0.717708045313	-0.106635763364
eclipse	aurora	Partial_lunar_eclipse	0.680949785134	0.845782053836	-0.164832268702
reptile	crocodile	reptile	0.846516973124	1.0	-0.153483026876
skyline	skyscraper	skyline	0.77966907185	1.0	-0.22033092815
glacier	ski_slope	glaciers_icebergs	0.772819937805	0.874615116512	-0.101795178707
bird	penguin	bird	0.720176748726	1.0	-0.279823251274
socks	poster_color	feminine_blouse	0.594020249921	0.696734871015	-0.102714621094
rafting	ski_area	hiking_canoeing_kayaking	0.690199694613	0.851515116584	-0.161315421971
sky	mackerel_sky	sky	0.874602713182	1.0	-0.125397286818
cursive	pyrography	crayon_pencil	0.655223503939	0.760994949126	-0.105771445187
chop	screen_shoot	Cut_crosswise	0.616493099576	0.739303773436	-0.12281067386
waist	feminine_thing	jeans_unbuttoned	0.622871571519	0.73393424988	-0.111062678361
tropical	coral	tropical	0.733272940693	1.0	-0.266727059307
pest	spiny_rat	insect_eater	0.691530713695	0.802812665058	-0.111281951363
disguise	little_gem_arborvitae	screwball_ruse	0.580087433127	0.729013632018	-0.148926198891
petals	pink_flower	resembling_flower_petals	0.793063558678	0.906649056311	-0.113585497633
tram	trolley_car	tram	0.792120058005	1.0	-0.207879941995
worm	spank_monkey	Detecting_Conficker_infection	0.630039032271	0.774154944372	-0.144115912101
juicy	jicama	juicy_succulent	0.69724867256	0.941373271595	-0.244124599035
tile	pyrography	tile_carpentry_sheetrock	0.682840362013	0.907753672435	-0.224913310422
wildlife	elk	wildlife	0.790811029258	1.0	-0.209188970742
herbal	valerian	herbal_essences	0.776458963699	0.921484452581	-0.145025488882
combine	equilateral	Combine_marinade	0.605782443026	0.737379127179	-0.131596684153
stocks	broaden_your_horizon	SFIO_Quote_Chart	0.563033135029	0.679829364881	-0.116796229852
majestic	grand_canyon	majestic_scenery	0.727155636984	0.923572757955	-0.196417120971
