ImageName	GUR	Baseline	GUR-wt	Baseline-wt	Difference
elephant	squirrel_monkey	UDBKL	0.783278647566	0.61215614283	0.171122504736
adventure	adventure_game	hiking_biking_camping	0.896666768888	0.718599858519	0.178066910369
mango	mango	lychee_fruit	1.0	0.86939745674	0.13060254326
cellar	cellar	sunporch	1.0	0.68948779667	0.31051220333
grinder	coffee_grinder	biscuit_cutters	0.884837829879	0.714819040681	0.170018789198
ant	ant	luna_moths	1.0	0.732421271149	0.267578728851
jet	jet_plane	Helicopters_thumped	0.969854991003	0.667921426009	0.301933564994
girl	flower_girl	PSKXF	0.901301863911	0.652213710603	0.249088153308
lesson	learn_thing	Safiya_Godlas	0.772319246512	0.6019391276	0.170380118912
sweater	dress_shirt	flowy_dresses	0.849889577128	0.739453274543	0.110436302585
mammal	tiger_shark	UDBKL	0.796007230744	0.625694877401	0.170312353343
storage	data_storage	IWEBE	0.907308601717	0.626655645381	0.280652956336
sun	sunny	Thick_smoke_obscured	0.782198510631	0.659253959253	0.122944551378
distort	distort_shape	illusionistic	0.880648546055	0.653346994833	0.227301551222
lawn	lawn	wildflower_garden	1.0	0.760481902211	0.239518097789
currency	currency_code	MookieTheCat	0.86463539025	0.627172339861	0.237463050389
sand	sand_dune	azure_ocean	0.933585680418	0.703475121953	0.230110558465
dahlia	dahlia	hydrangea_blooms	1.0	0.846511709687	0.153488290313
cupid	platonic_love	resembling_flower_petals	0.721590640416	0.61894882636	0.102641814056
taxi	taxi	cab	1.0	0.875527916843	0.124472083157
needle	hypodermic_needle	resembling_flower_petals	0.927110694253	0.60533698159	0.321773712663
forklift	trailer_truck	MookieTheCat	0.804193965856	0.581805454935	0.222388510921
driver	vehicle_bomb	PSKXF	0.718669870007	0.605034280554	0.113635589453
vehicle	rental_car	airplane	0.82035575219	0.695934844323	0.124420907867
warning	threat	HYEOF	0.704825855657	0.59287914483	0.111946710827
coffee	coffee	mocha_cream	1.0	0.736090175337	0.263909824663
teenager	two_boy	UDBKL	0.790299385517	0.655358330794	0.134941054723
storm	storm	weather	1.0	0.751605865389	0.248394134611
lunch	eat_dinner	UDBKL	0.838482809697	0.618064156587	0.22041865311
gift	birthday_gift	HYEOF	0.909074675435	0.607505660327	0.301569015108
eggplant	eggplant	Roasted_garlic	1.0	0.84154832107	0.15845167893
ball	base_ball	IWEBE	0.871896250269	0.661860319537	0.210035930732
light	strobe_light	greenish_glow	0.91251656988	0.726298778769	0.186217791111
pores	scan_electron_microscope	marble_floorings	0.685166887893	0.579700624569	0.105466263324
cruiser	patrol_boat	Trigatti	0.839118132568	0.690954309017	0.148163823551
croc	squirrel_monkey	Australopithecus_sediba_appears	0.749870560651	0.638594363163	0.111276197488
pinto	mung_bean	resembling_flower_petals	0.729479418609	0.626771361271	0.102708057338
musician	folk_music	Lanky_brooding_Superman	0.79946439874	0.647167533468	0.152296865272
buffalo	bison	ponds_waterfalls	0.818104214567	0.691913749306	0.126190465261
picture	paint_picture	UDBKL	0.900862501405	0.616626921701	0.284235579704
movie	movie_clip	screwball_ruse	0.902685800029	0.638125726519	0.26456007351
runway	airfield	Plane_overshoots_Jamaica	0.787564030229	0.680937412508	0.106626617721
blues	classical_music	CDMHY	0.752760412891	0.626122232235	0.126638180656
cab	taxi_driver	MookieTheCat	0.868205165922	0.604519708507	0.263685457415
mug	beer_mug	UDBKL	0.909748819305	0.61080536951	0.298943449795
wild	wild_animal	wildlife	0.907881037122	0.703396787588	0.204484249534
sea	sea	ocean	1.0	0.882177074498	0.117822925502
art	jazz_poetry	tile_carpentry_sheetrock	0.754160618926	0.649867264678	0.104293354248
partner	social_partnership	By_Laurelle_Gilbert	0.698902082074	0.555366574465	0.143535507609
eye	saucer_eye	IWEBE	0.88810055802	0.583947446548	0.304153111472
cocktail	drink_bottle	screwball_ruse	0.730934805364	0.602213580832	0.128721224532
celery	celery	Roasted_garlic	1.0	0.817861268947	0.182138731053
wheat	wheat_rice	Dryland_cotton	0.951502097517	0.798433184087	0.15306891343
newborn	wild_child	hummingbird_nest	0.780132775471	0.660747083177	0.119385692294
research	scientific	GeneGo_develops_systems	0.789890112559	0.666693158575	0.123196953984
crossbow	naval_gun	CDMHY	0.727235204529	0.614671069077	0.112564135452
coil	corrugation	Unroll_dough	0.754432993218	0.654010669549	0.100422323669
salt	salt_water	dust_mote	0.918119528828	0.645793279583	0.272326249245
working	work_environment	IWEBE	0.770339131865	0.586132793056	0.184206338809
talk	talk_with_friend	IWEBE	0.840506879727	0.634305430625	0.206201449102
end	middle_level_cloud	Lightning_flickered	0.703012961019	0.544287434225	0.158725526794
wet	rain	UDBKL	0.783018475878	0.62356537719	0.159453098688
pumpkin	pumpkin	pumkin	1.0	0.813815376341	0.186184623659
trash	garbage	Collecting_rainwater	0.922646693285	0.660068852063	0.262577841222
apple	apple_pie	boysenberry_pie	0.917278827793	0.764896470821	0.152382356972
badge	poster_color	Darrell_Greer_NNSL	0.674257105024	0.570403360701	0.103853744323
slide	slide_projector	giddily_snapping	0.891875835771	0.632278760677	0.259597075094
boulder	boulder	gushing_waterfalls	1.0	0.685604491128	0.314395508872
enter	operate_room	Safiya_Godlas	0.654614264785	0.537089874402	0.117524390383
penguin	little_penguin	white_tailed_ptarmigan	0.886717023512	0.678099707602	0.20861731591
herring	rainbow_trout	TEXOMA_Water	0.74890359933	0.587769548506	0.161134050824
dance	folk_dance	juggling_clowning	0.922852355705	0.700216539549	0.222635816156
bus	pickup_truck	MookieTheCat	0.746150079996	0.607160459194	0.138989620802
eggs	fry_egg	plump_blueberries	0.862004752215	0.708769435037	0.153235317178
chance	wait_game	screwball_ruse	0.701553404676	0.545834887391	0.155718517285
sensor	air_cool_device	HYEOF	0.75068524718	0.607360728127	0.143324519053
dark	dark_nebula	UDBKL	0.899791458348	0.636292742111	0.263498716237
seashore	sandy_beach	beautiful_sunsets	0.821259188128	0.692742025527	0.128517162601
app	visualizer	viral_McSween	0.722361098182	0.621453399393	0.100907698789
sugar	chocolate_candy	Mince_garlic	0.773468974279	0.650082100122	0.123386874157
costume	national_costume	funky_hairstyles	0.859533172394	0.704217771823	0.155315400571
tree	fruit_tree	hydrangea_blooms	0.918319868542	0.743863580736	0.174456287806
park	park_bench	HYEOF	0.884323866281	0.645253484832	0.239070381449
one	for_one_thing	UDBKL	0.900848543835	0.664586786535	0.2362617573
death	die	IWEBE	0.739448707159	0.637296185596	0.102152521563
course	disc_golf	HYEOF	0.719089619797	0.607740424645	0.111349195152
document	text_message	MookieTheCat	0.722179352163	0.619463405284	0.102715946879
bamboo	bamboo	clumping_bamboo	1.0	0.881951307752	0.118048692248
speed	speed_skate	HYEOF	0.872047069336	0.612550649808	0.259496419528
boots	dress_shoe	marble_floorings	0.778806845023	0.614806488004	0.164000357019
friend	meet_new_friend	Natasha_Richardson_mourned	0.785537978815	0.682879312127	0.102658666688
paint	paint_picture	Toenail_painting	0.900862508732	0.735399838307	0.165462670425
contact	visual_information	HYEOF	0.691542281519	0.58447364476	0.107068636759
reason	blotch_thing	HYEOF	0.707135229687	0.595539737726	0.111595491961
function	visual_communication	Safiya_Godlas	0.662276490197	0.549049374867	0.11322711533
contest	run_event	UDBKL	0.700320918606	0.594054152055	0.106266766551
garden	garden_cress	Flowering_shrubs	0.925696525194	0.80953742745	0.116159097744
type	for_one_thing	KF_OOE	0.692461782732	0.586401273863	0.106060508869
pie	pie	icebox_pie	1.0	0.88175908842	0.11824091158
windy	rain	KNYCF	0.759057396576	0.658531756783	0.100525639793
rat	spiny_rat	whale_Thewissen	0.904335778405	0.625119358543	0.279216419862
cash	cash_on_barrelhead	MookieTheCat	0.877069788461	0.616252989371	0.26081679909
play	child_game	HYEOF	0.757836487481	0.657810619048	0.100025868433
tools	manual_tool	metalworking_woodworking	0.843526614742	0.663025056434	0.180501558308
lemon	lemon	tart_lemony	1.0	0.806642171339	0.193357828661
town	town_hall	treescape	0.910365484633	0.668209711846	0.242155772787
grade	finish_school	By_Laurelle_Gilbert	0.708634381462	0.591857610758	0.116776770704
parking	park_zone	MookieTheCat	0.73047370435	0.607902653241	0.122571051109
festive	religious_holiday	Shabbos_candles	0.792138659353	0.679764697868	0.112373961485
mint-2	apple_mint	Dried_apricots	0.91751880089	0.719580417322	0.197938383568
dog	puppy	IWEBE	0.905321418149	0.635695523078	0.269625895071
railway	cable_railway	UDBKL	0.88842907089	0.608160645182	0.280268425708
cobra	queen_snake	PSKXF	0.780525361315	0.596949905402	0.183575455913
power	power_vacuum	MookieTheCat	0.902262859983	0.604199422186	0.298063437797
monument	memorial_park	skyline	0.846996420389	0.67115385396	0.175842566429
unicycle	bike	HYEOF	0.777095055211	0.62595208676	0.151142968451
bee	honey_bee	resembling_flower_petals	0.929594334865	0.630179907758	0.299414427107
decipher	trace_paper	Lanky_brooding_Superman	0.686052301168	0.574634683408	0.11141761776
